,15826,11608,10802,12981,7772,13254,13255,16106,16107,5457,4841,16891,10531,14017,4592,7782,3074,265,266,10787,5905,5759,6263,17399,17400,10262,7376,15017,16969,15045,15937,7963,250,1584,11847,7199,11593,4139,2777,17543,13998,1068,9885,1164,14669,6143,13873,9209,9210,3592,2140,15537,16920,16921,5300,17362,3228,3229,3230,6229,8812,4878,13538,17584,8123,11026,9200,9201,7081,11118,9889,6675,7980,14410,2858,8299,14961,8082,8716
municipality_y,Gällivare,Älvdalen,Mora,Höganäs,Kristianstad,Klippan,Klippan,Jokkmokk,Jokkmokk,Simrishamn,Nyköping,Bjuv,Svalöv,Landskrona,Trosa,Kungsbacka,Åtvidaberg,Lindesberg,Lindesberg,Åtvidaberg,Tierp,Åtvidaberg,Åtvidaberg,Nyköping,Nyköping,Norrköping,Lund,Kävlinge,Uppsala,Linköping,Nyköping,Lund,Sölvesborg,Botkyrka,Nässjö,Kävlinge,Sundsvall,Linköping,Svalöv,Åtvidaberg,Mörbylånga,Sölvesborg,Simrishamn,Lund,Uddevalla,Bollnäs,Halmstad,Simrishamn,Simrishamn,Sundsvall,Tidaholm,Avesta,Motala,Motala,Kungsbacka,Kungsbacka,Västerås,Västerås,Västerås,Nynäshamn,Halmstad,Åtvidaberg,Uppsala,Lund,Västerås,Kramfors,Ånge,Ånge,Järfälla,Gävle,Motala,Ulricehamn,Kinda,Kävlinge,Mörbylånga,Motala,Nykvarn,Älvdalen,Lysekil
locality_y,"Dundret, Lu lm","Smoletvägen, Dlr","Alderängarna, Dlr","Fyren Kullaberg, Sk","Horna Hed, Sk","Riseberga grustag, norra, Sk","Riseberga grustag, norra, Sk","Vitbäcken, Kittajaur, Lu lm","Vitbäcken, Kittajaur, Lu lm","Ravlunda - Flodahusdammen, Sk","Höglunda, Srm","Båvs stenbrott, yttre, Sk","Tranerödsmosse, Sk","Granet, Landskrona, Sk","Västerljung sn  Långmaren, Srm","Kvarndammet, Hl","Tolen 1, Ög","Spångabäcken, S Munkhyttan, Vstm","Spångabäcken, S Munkhyttan, Vstm","Höcksjön, Ög","Bryggan, Ledskär, Upl","Höcksjön, Ög","Karlshamnsgölen, Sm","S St. Råggärdet, Srm","S St. Råggärdet, Srm","Loddbynäset, Ög","Silvåkratornet  Krankesjön, Sk","Lyckehusen, Sk","Stordammen, Lunsen., Upl","Ljungstorp, Ög","V Fräkenkärret, Srm","Genarp Risen  norra delen, Sk","Sölve grustag, Bl","Hörningsnäs löväng, Näslandet, Srm","Skabo göl, Sm","Lyckehusen, Sk","Grönviken, Mpd","Rosenkälla 1, Ög","Tranerödsmosse, Sk","Höcksjön, Ög","Gråborg blomsteräng, Öl","Sölve grustag, Bl","Flodahusdammen, Ravlunda skjutfält, Sk","Kaninlandet, Sk","Lyckan, Boh","Åsbacka, Bollnäs, Hls","Lynghög mot söder, Hl","Simrishamn 14,355235x55,550788, Sk","Simrishamn 14,355235x55,550788, Sk","Sidsjön, södra änden, Mpd","Ettaks strömmar, Vg","Dammen, Valla by, Horndal, Avesta kommun, Dlr","Styra mellangård, 300 m V, Ög","Styra mellangård, 300 m V, Ög","Dalen, Äskatorp, Hl","Gårdshorn, Hl","Naturskolans hus, Asköviken, Vstm","Naturskolans hus, Asköviken, Vstm","Naturskolans hus, Asköviken, Vstm","Östra styran, Styran, Srm","Skedala grustag, Hl","Getryggen N, Sm","Nyby lerdammar, Uppsala, Upl","Silvåkratornet  Krankesjön, Sk","Sundbo, Vstm","Nattsjörået, Ång","Gillbergstjärnarna, Jmt","Gillbergstjärnarna, Jmt","700 m N Molnsättra, Upl","Fjärilsvägen, Grinduga, Gstr","Vrång/Vresjön, Ög","Dalum, Vg","Hallstad Stora dammen, Ög","Hofterupsmosse, båda sjöarna, Sk","Möckelmossen, Öl","Ringarhultsån, Ög","Almsjöslingan 2, Srm","Smoletvägen, Dlr","Fiskebäcksvik, Boh"
verbatimLocality_y,"Dundret, Lu lm","Smoletvägen, Dlr","Alderängarna, Dlr","Fyren Kullaberg, Sk","Horna Hed, Sk","Riseberga grustag, norra, Sk","Riseberga grustag, norra, Sk","Vitbäcken, Kittajaur, Lu lm","Vitbäcken, Kittajaur, Lu lm","Ravlunda - Flodahusdammen, Sk","Höglunda, Srm","Båvs stenbrott, yttre, Sk","Tranerödsmosse, Sk","Granet, Landskrona, Sk","Västerljung sn  Långmaren, Srm","Kvarndammet, Hl","Tolen 1, Ög","Spångabäcken, S Munkhyttan, Vstm","Spångabäcken, S Munkhyttan, Vstm","Höcksjön, Ög","Bryggan, Ledskär, Upl","Höcksjön, Ög","Karlshamnsgölen, Sm","S St. Råggärdet, Srm","S St. Råggärdet, Srm","Loddbynäset, Ög","Silvåkratornet  Krankesjön, Sk","Lyckehusen, Sk","Stordammen, Lunsen., Upl","Ljungstorp, Ög","V Fräkenkärret, Srm","Genarp Risen  norra delen, Sk","Sölve grustag, Bl","Hörningsnäs löväng, Näslandet, Srm","Skabo göl, Sm","Lyckehusen, Sk","Grönviken, Mpd","Rosenkälla 1, Ög","Tranerödsmosse, Sk","Höcksjön, Ög","Gråborg blomsteräng, Öl","Sölve grustag, Bl","Flodahusdammen, Ravlunda skjutfält, Sk","Kaninlandet, Sk","Lyckan, Boh","Åsbacka, Bollnäs, Hls","Lynghög mot söder, Hl","Simrishamn 14,355235x55,550788, Sk","Simrishamn 14,355235x55,550788, Sk","Sidsjön, södra änden, Mpd","Ettaks strömmar, Vg","Dammen, Valla by, Horndal, Avesta kommun, Dlr","Styra mellangård, 300 m V, Ög","Styra mellangård, 300 m V, Ög","Dalen, Äskatorp, Hl","Gårdshorn, Hl","Naturskolans hus, Asköviken, Vstm","Naturskolans hus, Asköviken, Vstm","Naturskolans hus, Asköviken, Vstm","Östra styran, Styran, Srm","Skedala grustag, Hl","Getryggen N, Sm","Nyby lerdammar, Uppsala, Upl","Silvåkratornet  Krankesjön, Sk","Sundbo, Vstm","Nattsjörået, Ång","Gillbergstjärnarna, Jmt","Gillbergstjärnarna, Jmt","700 m N Molnsättra, Upl","Fjärilsvägen, Grinduga, Gstr","Vrång/Vresjön, Ög","Dalum, Vg","Hallstad Stora dammen, Ög","Hofterupsmosse, båda sjöarna, Sk","Möckelmossen, Öl","Ringarhultsån, Ög","Almsjöslingan 2, Srm","Smoletvägen, Dlr","Fiskebäcksvik, Boh"
minimumElevationInMeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maximumElevationInMeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbatimElevation_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verticalDatum_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimumDepthInMeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maximumDepthInMeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbatimDepth_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimumDistanceAboveSurfaceInMeters_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maximumDistanceAboveSurfaceInMeters_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locationAccordingTo_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locationRemarks_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decimalLatitude_y,67.10788,61.99872,61.04665,56.30166,55.95685,56.08045,56.08045,66.17764,66.17764,55.74495,58.97644,56.06689,56.04417,55.87765,58.83377,57.41295,58.22795,59.59415,59.59415,58.23041,60.50777,58.23041,58.15931,58.9702,58.9702,58.68533,55.69026,55.75121,59.80474,58.1094,58.93017,55.59136,56.05052,59.06996,57.68739,55.75121,62.14459,58.36222,56.04417,58.23041,56.66634,56.05057,55.74541,55.6764,58.27295,61.4149,56.77392,55.55077,55.55077,62.36865,58.1092,60.3675,58.44802,58.44802,57.42058,57.38829,59.53731,59.53731,59.53731,58.97462,56.69703,58.18861,59.88967,55.69026,59.52936,62.95604,62.47442,62.47442,59.46251,60.61592,58.67315,57.89918,58.1413,55.81746,56.53017,58.68553,59.18768,61.99872,58.33645
decimalLongitude_y,20.57576,12.65841,14.4152,12.45105,14.28375,13.32678,13.32678,19.94599,19.94599,14.15417,17.09723,13.03196,13.18416,12.82041,17.40243,12.11249,16.06746,15.13254,15.13254,15.99803,17.71018,15.99803,16.34027,17.17175,17.17175,16.19018,13.49295,12.97954,17.71414,15.41479,17.1865,13.40516,14.61122,17.69291,14.557,12.97954,17.49972,15.62273,13.18416,15.99803,16.59302,14.61204,14.15461,13.41204,11.88562,16.30696,12.81486,14.35516,14.35516,17.27449,13.90709,16.38975,15.08334,15.08334,12.11102,12.16075,16.46672,16.46672,16.46672,17.86821,12.96158,16.07431,17.65826,13.49295,16.47629,17.60285,14.91905,14.91905,17.83752,17.30265,15.2557,13.46762,15.64407,12.94968,16.51848,15.25533,17.36029,12.65841,11.40668
geodeticDatum,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326,EPSG:4326
coordinateUncertaintyInMeters_y,500.0,5000.0,1000.0,100.0,100.0,100.0,100.0,50.0,50.0,100.0,250.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,250.0,25.0,25.0,100.0,100.0,50.0,100.0,100.0,100.0,5.0,250.0,100.0,250.0,100.0,100.0,100.0,100.0,250.0,100.0,25.0,400.0,500.0,100.0,100.0,500.0,250.0,500.0,500.0,500.0,100.0,250.0,100.0,100.0,100.0,125.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,250.0,100.0,100.0,100.0,5.0,5.0,250.0,1000.0,100.0,1000.0,100.0,100.0,100.0,100.0,1000.0,5000.0,1000.0
coordinatePrecision_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pointRadiusSpatialFit_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbatimCoordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbatimLatitude,10186861.0,8858839.0,8636542.0,7618704.0,7549831.0,7574448.0,7574448.0,9925635.0,9925635.0,7507810.0,8175296.0,7571744.0,7567213.0,7534098.0,8144545.0,7844994.0,8015356.0,8309929.0,8309929.0,8015876.0,8513666.0,8015876.0,8000859.0,8173948.0,8173948.0,8112684.0,7497000.0,7509048.0,8356394.0,7990334.0,8165310.0,7477493.0,7568480.0,8195524.0,7901932.0,7509048.0,8893509.0,8043796.0,7567213.0,8015876.0,7692226.0,7568489.0,7507900.0,7494264.0,8024876.0,8721719.0,7714049.0,7469501.0,7469501.0,8947089.0,7990293.0,8482016.0,8062028.0,8062028.0,7846572.0,7839900.0,8297437.0,8297437.0,8297437.0,8174904.0,7698444.0,8007044.0,8375215.0,7497000.0,8295692.0,9089481.0,8972522.0,8972522.0,8281031.0,8538162.0,8110074.0,7946169.0,7997058.0,7522163.0,7664689.0,8112727.0,8221063.0,8858839.0,8038330.0
verbatimLongitude,2290483.0,1409128.0,1604693.0,1386045.0,1590060.0,1483530.0,1483530.0,2220378.0,2220378.0,1575635.0,1903255.0,1450711.0,1467654.0,1427162.0,1937230.0,1348356.0,1788621.0,1684547.0,1684547.0,1780893.0,1971488.0,1780893.0,1818991.0,1911551.0,1911551.0,1802283.0,1502028.0,1444876.0,1971929.0,1715967.0,1913192.0,1492256.0,1626514.0,1969566.0,1620478.0,1444876.0,1948060.0,1739114.0,1467654.0,1780893.0,1847126.0,1626605.0,1575684.0,1493021.0,1323101.0,1815282.0,1426544.0,1598009.0,1598009.0,1922987.0,1548130.0,1824499.0,1679070.0,1679070.0,1348193.0,1353728.0,1833067.0,1833067.0,1833067.0,1989080.0,1442876.0,1789384.0,1965708.0,1502028.0,1834132.0,1959540.0,1660781.0,1660781.0,1985664.0,1926122.0,1698257.0,1499209.0,1741490.0,1441552.0,1838829.0,1698216.0,1932539.0,1409128.0,1269786.0
verbatimCoordinateSystem_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbatimSRS_y,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857,EPSG:3857
footprintWKT_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footprintSRS_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footprintSpatialFit_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georeferencedBy_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georeferencedDate_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georeferenceProtocol_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georeferenceSources_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georeferenceRemarks_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geologicalContextID_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earliestEonOrLowestEonothem_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latestEonOrHighestEonothem_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earliestEraOrLowestErathem_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latestEraOrHighestErathem_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earliestPeriodOrLowestSystem_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latestPeriodOrHighestSystem_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earliestEpochOrLowestSeries_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latestEpochOrHighestSeries_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earliestAgeOrLowestStage_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latestAgeOrHighestStage_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lowestBiostratigraphicZone_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highestBiostratigraphicZone_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lithostratigraphicTerms_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formation_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
member_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bed_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
identificationID_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbatimIdentification_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
identificationQualifier_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typeStatus_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
identifiedBy_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
identifiedByID_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateIdentified_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
identificationReferences_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
identificationVerificationStatus_y,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved. Specimen checked by validator.,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Unvalidated,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Unvalidated,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Unvalidated,Unvalidated,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Unvalidated,Unvalidated,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Unvalidated,Approved based on reporters documentation,Approved based on reporters documentation,Approved. Specimen checked by validator.,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation,Approved based on reporters documentation
identificationRemarks_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonID_y,urn:lsid:dyntaxa.se:Taxon:208308,urn:lsid:dyntaxa.se:Taxon:208282,urn:lsid:dyntaxa.se:Taxon:208309,urn:lsid:dyntaxa.se:Taxon:208316,urn:lsid:dyntaxa.se:Taxon:208298,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208282,urn:lsid:dyntaxa.se:Taxon:208282,urn:lsid:dyntaxa.se:Taxon:102918,urn:lsid:dyntaxa.se:Taxon:208319,urn:lsid:dyntaxa.se:Taxon:208290,urn:lsid:dyntaxa.se:Taxon:208270,urn:lsid:dyntaxa.se:Taxon:208289,urn:lsid:dyntaxa.se:Taxon:208299,urn:lsid:dyntaxa.se:Taxon:208290,urn:lsid:dyntaxa.se:Taxon:208294,urn:lsid:dyntaxa.se:Taxon:208298,urn:lsid:dyntaxa.se:Taxon:208298,urn:lsid:dyntaxa.se:Taxon:208314,urn:lsid:dyntaxa.se:Taxon:208278,urn:lsid:dyntaxa.se:Taxon:208311,urn:lsid:dyntaxa.se:Taxon:208276,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208299,urn:lsid:dyntaxa.se:Taxon:208262,urn:lsid:dyntaxa.se:Taxon:208311,urn:lsid:dyntaxa.se:Taxon:208274,urn:lsid:dyntaxa.se:Taxon:208313,urn:lsid:dyntaxa.se:Taxon:208309,urn:lsid:dyntaxa.se:Taxon:208320,urn:lsid:dyntaxa.se:Taxon:226659,urn:lsid:dyntaxa.se:Taxon:208279,urn:lsid:dyntaxa.se:Taxon:208274,urn:lsid:dyntaxa.se:Taxon:208314,urn:lsid:dyntaxa.se:Taxon:208314,urn:lsid:dyntaxa.se:Taxon:102918,urn:lsid:dyntaxa.se:Taxon:208314,urn:lsid:dyntaxa.se:Taxon:208306,urn:lsid:dyntaxa.se:Taxon:208301,urn:lsid:dyntaxa.se:Taxon:208292,urn:lsid:dyntaxa.se:Taxon:208279,urn:lsid:dyntaxa.se:Taxon:208314,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208299,urn:lsid:dyntaxa.se:Taxon:208263,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208267,urn:lsid:dyntaxa.se:Taxon:208262,urn:lsid:dyntaxa.se:Taxon:208309,urn:lsid:dyntaxa.se:Taxon:208267,urn:lsid:dyntaxa.se:Taxon:208267,urn:lsid:dyntaxa.se:Taxon:208290,urn:lsid:dyntaxa.se:Taxon:102918,urn:lsid:dyntaxa.se:Taxon:101868,urn:lsid:dyntaxa.se:Taxon:101868,urn:lsid:dyntaxa.se:Taxon:101868,urn:lsid:dyntaxa.se:Taxon:208277,urn:lsid:dyntaxa.se:Taxon:208313,urn:lsid:dyntaxa.se:Taxon:208300,urn:lsid:dyntaxa.se:Taxon:208320,urn:lsid:dyntaxa.se:Taxon:208263,urn:lsid:dyntaxa.se:Taxon:208290,urn:lsid:dyntaxa.se:Taxon:208263,urn:lsid:dyntaxa.se:Taxon:208302,urn:lsid:dyntaxa.se:Taxon:208302,urn:lsid:dyntaxa.se:Taxon:100912,urn:lsid:dyntaxa.se:Taxon:208309,urn:lsid:dyntaxa.se:Taxon:208266,urn:lsid:dyntaxa.se:Taxon:208262,urn:lsid:dyntaxa.se:Taxon:208315,urn:lsid:dyntaxa.se:Taxon:208301,urn:lsid:dyntaxa.se:Taxon:208292,urn:lsid:dyntaxa.se:Taxon:208297,urn:lsid:dyntaxa.se:Taxon:208320,urn:lsid:dyntaxa.se:Taxon:208263,urn:lsid:dyntaxa.se:Taxon:208317
